run,ttc_s,energy_wh
3,1000.0,58.18
9,200.0,33.10
7,1000.0,58.18
5,200.0,33.10
2,200.0,33.10
10,1000.0,58.18
6,1000.0,58.18
1,1000.0,58.18
4,1000.0,58.18
8,1000.0,58.18
17,200.0,33.10
14,200.0,33.10
19,200.0,33.10
20,200.0,33.10
13,200.0,33.10
12,200.0,33.10
11,1000.0,58.18
16,1000.0,58.18
18,1000.0,58.18
15,1000.0,58.18
21,200.0,33.10
27,200.0,33.10
26,200.0,33.10
22,200.0,33.10
29,1000.0,58.18
23,1000.0,58.18
28,1000.0,58.18
25,1000.0,58.18
24,1000.0,58.18
30,1000.0,58.18
34,200.0,33.10
31,200.0,33.10
33,200.0,33.10
36,200.0,33.10
32,200.0,33.10
39,1000.0,58.18
38,200.0,33.10
37,1000.0,58.18
35,1000.0,58.18
40,1000.0,58.18
43,200.0,33.10
49,1000.0,58.18
45,200.0,33.10
41,200.0,33.10
50,1000.0,58.18
42,1000.0,58.18
46,1000.0,58.18
48,1000.0,58.18
47,1000.0,58.18
44,1000.0,58.18
56,200.0,33.10
57,1000.0,58.18
53,200.0,33.10
52,200.0,33.10
55,1000.0,58.18
60,1000.0,58.18
58,200.0,33.10
51,1000.0,58.18
54,1000.0,58.18
59,1000.0,58.18
69,200.0,33.10
70,200.0,33.10
62,200.0,33.10
66,1000.0,58.18
67,1000.0,58.18
61,1000.0,58.18
63,1000.0,58.18
64,1000.0,58.18
65,1000.0,58.18
68,1000.0,58.18
71,200.0,33.10
80,200.0,33.10
78,1000.0,58.18
73,1000.0,58.18
74,1000.0,58.18
79,200.0,33.10
76,1000.0,58.18
75,200.0,33.10
77,1000.0,58.18
72,1000.0,58.18
87,200.0,33.10
85,200.0,33.10
86,200.0,33.10
84,200.0,33.10
89,200.0,33.10
83,1000.0,58.18
90,1000.0,58.18
81,1000.0,58.18
88,1000.0,58.18
82,1000.0,58.18
96,1000.0,58.18
98,200.0,33.10
91,200.0,33.10
93,1000.0,58.18
95,200.0,33.10
92,200.0,33.10
94,200.0,33.10
100,200.0,33.10
99,1000.0,58.18
97,1000.0,58.18
