run,ttc_s,energy_wh
2,200.0,33.10
7,1000.0,58.18
10,200.0,33.10
5,1000.0,58.18
3,1000.0,58.18
8,1000.0,58.18
6,200.0,33.10
1,1000.0,58.18
4,1000.0,58.18
9,1000.0,58.18
15,200.0,33.10
20,200.0,33.10
13,200.0,33.10
18,1000.0,58.18
16,1000.0,58.18
11,1000.0,58.18
14,200.0,33.10
19,1000.0,58.18
12,200.0,33.10
17,1000.0,58.18
30,200.0,33.10
25,1000.0,58.18
23,200.0,33.10
28,1000.0,58.18
26,1000.0,58.18
21,1000.0,58.18
24,200.0,33.10
29,1000.0,58.18
27,200.0,33.10
22,1000.0,58.18
35,200.0,33.10
33,200.0,33.10
38,200.0,33.10
36,200.0,33.10
31,200.0,33.10
34,200.0,33.10
39,200.0,33.10
37,200.0,33.10
32,1000.0,58.18
40,200.0,33.10
43,200.0,33.10
48,200.0,33.10
46,200.0,33.10
41,1000.0,58.18
44,1000.0,58.18
49,1000.0,58.18
47,200.0,33.10
42,1000.0,58.18
45,1000.0,58.18
50,1000.0,58.18
56,200.0,33.10
51,1000.0,58.18
54,200.0,33.10
59,1000.0,58.18
57,200.0,33.10
52,200.0,33.10
60,200.0,33.10
55,1000.0,58.18
53,200.0,33.10
58,200.0,33.10
64,1000.0,58.18
69,1000.0,58.18
67,200.0,33.10
62,1000.0,58.18
65,200.0,33.10
70,1000.0,58.18
63,200.0,33.10
68,200.0,33.10
66,200.0,33.10
61,1000.0,58.18
74,200.0,33.10
79,1000.0,58.18
77,200.0,33.10
72,1000.0,58.18
80,200.0,33.10
75,1000.0,58.18
73,200.0,33.10
78,1000.0,58.18
71,1000.0,58.18
76,1000.0,58.18
89,200.0,33.10
84,1000.0,58.18
87,200.0,33.10
82,1000.0,58.18
85,200.0,33.10
90,200.0,33.10
83,200.0,33.10
88,1000.0,58.18
86,200.0,33.10
81,1000.0,58.18
97,200.0,33.10
92,1000.0,58.18
95,200.0,33.10
100,1000.0,58.18
93,200.0,33.10
98,200.0,33.10
91,200.0,33.10
96,1000.0,58.18
99,200.0,33.10
94,1000.0,58.18
