run,ttc_s,energy_wh
6,772.01,454.18
5,772.01,454.18
1,772.01,454.18
4,772.01,453.02
3,772.01,453.02
7,987.01,469.91
2,760.01,452.08
13,746.01,445.88
14,772.01,453.02
12,772.01,454.18
9,772.01,454.18
11,746.01,446.01
10,852.01,458.98
8,772.01,458.15
19,772.01,454.18
16,812.01,458.29
21,772.01,453.02
20,812.01,458.29
18,772.01,454.18
15,852.01,459.37
17,772.01,453.02
25,772.01,454.00
28,772.01,454.18
26,772.01,453.02
24,772.01,454.18
22,772.01,453.02
23,772.01,454.18
27,746.01,447.40
34,746.01,446.01
33,746.01,446.01
30,746.01,445.83
32,772.01,453.74
35,746.01,446.33
31,772.01,454.01
29,987.01,469.91
38,812.01,458.29
40,772.01,452.28
36,772.01,454.18
42,772.01,454.18
41,772.01,458.15
37,772.01,458.15
39,772.01,454.01
49,812.01,458.29
45,772.01,454.18
44,892.01,465.59
43,772.01,454.18
47,772.01,454.18
48,772.01,453.02
46,757.01,450.66
50,772.01,454.18
