run,ttc_s,energy_wh
4,1055.0,555.73
1,975.0,547.42
9,975.0,547.54
7,1135.0,581.46
6,1135.0,583.85
5,1055.0,556.18
10,1095.0,577.03
8,1013.0,551.72
3,1014.0,557.67
2,1583.0,571.85
11,975.0,547.42
14,975.0,547.42
15,975.0,547.42
13,973.0,545.92
16,975.0,545.53
18,975.0,545.53
19,1055.0,553.84
12,1055.0,555.86
20,975.0,547.54
17,975.0,550.41
27,1055.0,556.18
26,973.0,547.87
21,975.0,545.53
23,975.0,545.53
28,975.0,545.53
22,1055.0,553.84
25,1055.0,554.23
29,1055.0,558.74
24,1052.0,557.57
30,1055.0,550.01
33,1055.0,555.73
31,973.0,547.87
35,973.0,545.92
34,973.0,545.86
38,1015.0,554.23
32,1055.0,557.95
36,1055.0,556.18
39,973.0,547.81
40,975.0,545.53
37,1015.0,552.61
42,975.0,547.42
45,1055.0,555.86
47,1055.0,553.72
48,1055.0,555.86
44,972.0,549.03
50,1137.0,579.95
49,974.0,547.12
46,1055.0,555.86
41,1013.0,553.18
43,1013.0,550.48
