run,ttc_s,energy_wh
7,1094.01,568.21
8,1094.01,559.61
6,1094.01,568.21
4,1095.0,557.21
10,1094.01,556.11
3,1094.01,571.63
5,1094.01,559.82
1,1094.01,559.83
2,1094.01,571.83
9,1094.0,557.97
17,1094.01,569.92
12,1094.01,556.48
13,1094.01,561.32
19,1094.01,571.63
18,1094.01,559.83
11,1094.01,559.82
20,1094.01,557.83
14,1094.01,568.05
16,1094.01,569.76
15,1094.0,568.32
23,1094.01,568.21
24,1094.01,569.92
21,1094.01,571.63
27,1094.01,571.63
28,1094.01,559.82
22,1094.01,559.83
30,1094.01,558.44
26,1094.0,559.81
25,1094.01,557.83
29,1094.0,569.80
38,1095.0,567.45
37,1094.01,556.11
35,1094.01,556.11
31,1094.01,559.82
34,1094.01,559.82
39,1094.01,568.05
32,1094.01,568.05
40,1094.01,568.05
33,1094.01,568.05
36,1094.01,566.69
43,1094.01,568.51
46,1094.01,568.05
44,1094.01,559.82
42,1094.01,568.05
48,1094.01,568.05
49,1094.01,571.79
41,1094.0,559.81
47,1094.01,557.83
45,1094.01,557.83
50,1094.01,569.76
